STATUS,MNET_ID,ELEVATION,NAME,SHORTNAME,DISTANCE,SGID,NWSFIREZONE,STID,LONGITUDE,COUNTY,CWA,STATE,NWSZONE,LATITUDE,TIMEZONE,GACC,COUNTRY,ID
ACTIVE,203,1400,"CLEARWATER RIVER NEAR BUCKLEY, WA",USGS HYDRO,19,NW02,SEW659,USGSHY874,-121.8026044,Pierce,SEW,WA,WA569,47.1273267,America/Los_Angeles,NWCC,US,45757
ACTIVE,203,619.53,"MASHEL RIVER NEAR LA GRANDE, WA",USGS HYDRO,25.43,NW01,SEW657,USGSHY881,-122.3026139,Pierce,SEW,WA,WA555,46.85677048,America/Los_Angeles,NWCC,US,45764
ACTIVE,203,1260,"CISPUS RIVER AB YELLOWJACKET CREEK NEAR RANDLE, WA",USGS HYDRO,28.53,NW02,SEW659,USGSHY888,-121.8400888,Lewis,SEW,WA,WA569,46.44400155,America/Los_Angeles,NWCC,US,45771
ACTIVE,203,1727,"GREENWATER RIVER AT GREENWATER, WA",USGS HYDRO,21.59,NW02,SEW659,USGSHY895,-121.6356543,King,SEW,WA,WA569,47.1534409,America/Los_Angeles,NWCC,US,45778
ACTIVE,203,NA,"WHITE RIVER AT HEADWORKS AB FLUME NR BUCKLEY, WA",USGS HYDRO,24.56,NW01,SEW657,USGSHY899,-122.0026114,King,SEW,WA,WA555,47.169824,America/Los_Angeles,NWCC,US,45782
ACTIVE,204,2988,CLEAR LAKE (ELEV),USBR HYDRO,28.08,NW05,OTX680,CLR,-121.2705556,Yakima,PDT,WA,WA520,46.62861111,America/Los_Angeles,NWCC,US,46725
ACTIVE,204,2988,CLEAR LAKE OUTFLOW (N FORK TIETON R. BLW CLEAR LAKE),USBR HYDRO,28.11,NW05,OTX680,CLYW,-121.2677778,Yakima,PDT,WA,WA520,46.63083333,America/Los_Angeles,NWCC,US,46753
ACTIVE,204,3600,DEEP CREEK BELOW COPPER CREEK,USBR HYDRO,21.16,NW05,OTX680,DEPW,-121.3177778,Yakima,PDT,WA,WA520,46.8325,America/Los_Angeles,NWCC,US,46775
ACTIVE,204,5980,CASH PRAIRIE,USBR HYDRO,30.61,NW05,OTX680,CSPW,-121.1505556,Yakima,PDT,WA,WA520,46.71388889,America/Los_Angeles,NWCC,US,46782
ACTIVE,204,0,BUMPING RESERVOIR RIVER AND WEATHER STATION,USBR HYDRO,22.02,NW05,OTX680,BUM,-121.2988889,Yakima,PDT,WA,WA520,46.86861111,America/Los_Angeles,NWCC,US,46814
ACTIVE,37,6230,Crystal Green Valley,NWAC,14.06,NW02,SEW659,GRN62,-121.49433,Pierce,SEW,WA,WA569,46.93943,America/Los_Angeles,NWCC,US,47596
ACTIVE,37,5380,Paradise Wind,NWAC,4.87,NW02,SEW659,PVW54,-121.7419,Pierce,SEW,WA,WA569,46.78487,America/Los_Angeles,NWCC,US,47600
ACTIVE,37,5970,White Pass Pigtail,NWAC,23.86,NW02,OTX680,WPS60,-121.388,Lewis,PDT,WA,WA520,46.624,America/Los_Angeles,NWCC,US,47601
ACTIVE,25,3770,SKATE CREEK,SNOTEL,14.86,NW02,SEW659,SKTW1,-121.83044,Lewis,SEW,WA,WA569,46.64336,America/Los_Angeles,NWCC,US,47715
ACTIVE,65,524,EW8380 Puyallup,APRSWXNET/CWOP,30.99,NW01,SEW657,E8380,-122.267,Pierce,SEW,WA,WA509,47.14283,America/Los_Angeles,NWCC,US,48059
